sid,school_name
s01,Bowling Green State University
s02,"California State University, Fresno"
s03,"California State University, Fullerton"
s04,Carnegie Mellon University
s05,Central Michigan University
s06,Florida International University
s07,Georgia Institute of Technology
s08,Georgia State University
s09,Harvard University
s10,Kent State University
s11,Massachusetts Institute of Technology
s12,Middle Tennessee State University
s13,Northwestern University
s14,Portland State University
s15,Princeton University
s16,Rice University
s17,Stanford University
s18,Texas Tech University
s19,"University of California, Merced"
s20,"University of California, Berkeley"
s21,University of Chicago
s22,University of Illinois at Urbana-Champaign
s23,University of Maine
s24,"University of Massachusetts, Lowell"
s25,"University of Massachusetts, Boston"
s26,University of Michigan
s27,"University of Texas, Austin"
s28,University of Vermont
s29,Vanderbilt University
s30,Western Michigan University
s31,Duke University
s32,University of Notre Dame
s33,"University of California, Los Angeles"
s34,Johns Hopkins University
s35,Columbia University
s36,Yale University
s37,Georgetown University
s38,University of Virginia
s39,"University of North Carolina, Greensboro"
s40,University of Rhode Island
s41,Ball State University
s42,Virginia Commonwealth University
s43,"University of Maryland, Baltimore County"
s44,Old Dominion University
